trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,3,-77.31717344062291,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-106.69786884979776,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-82.18323281861042,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",25,0,-62.96431373376771,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-98.07597026975951,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,-112.89896549800973,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-114.55839666641909,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-89.16836366254536,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-158.5752721688068,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-133.13623488576226,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-135.71152451188593,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,15,-32.164551843349344,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-13.566101758611094,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-234.58396550111974,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 5}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-140.72899791159918,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,0,-56.2251680570923,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-38.48052945338231,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-82.0402709099557,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-111.07913003792109,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",30,21,14.847945687832595,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-28.608117369018174,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-50.263966079977294,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,4,-46.885865615315765,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",30,0,-73.98154883848369,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,3,-120.04830136538446,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",30,0,-155.8761744665958,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 3}",0
